Scene,Participant,variable,value
3D Ghost,P07,Dizziness (eyes closed),0.0
3D Ghost,P08,Dizziness (eyes closed),0.0
3D Ghost,P09,Dizziness (eyes closed),0.0
3D Ghost,P10,Dizziness (eyes closed),0.0
3D Ghost,P11,Dizziness (eyes closed),0.0
3D Ghost,P12,Dizziness (eyes closed),0.0
2D Label,P01,Vertigo,0.0
2D Label,P02,Vertigo,0.0
2D Label,P03,Vertigo,0.0
2D Label,P04,Vertigo,0.0
2D Label,P05,Vertigo,0.0
2D Label,P06,Vertigo,0.0
2D Label,P07,Vertigo,0.0
2D Label,P08,Vertigo,1.0
2D Label,P10,Vertigo,0.0
2D Label,P11,Vertigo,0.0
2D Label,P12,Vertigo,0.0
3D Ghost,P02,Vertigo,0.0
3D Ghost,P03,Vertigo,0.0
3D Ghost,P04,Vertigo,0.0
3D Ghost,P05,Vertigo,0.0
3D Ghost,P06,Vertigo,0.0
3D Ghost,P07,Vertigo,0.0
3D Ghost,P08,Vertigo,0.0
3D Ghost,P09,Vertigo,1.0
3D Ghost,P10,Vertigo,0.0
3D Ghost,P11,Vertigo,0.0
3D Ghost,P12,Vertigo,0.0
2D Label,P01,Stomach awareness,0.0
2D Label,P02,Stomach awareness,0.0
2D Label,P03,Stomach awareness,0.0
2D Label,P04,Stomach awareness,0.0
2D Label,P05,Stomach awareness,0.0
2D Label,P06,Stomach awareness,0.0
2D Label,P07,Stomach awareness,0.0
2D Label,P08,Stomach awareness,0.0
2D Label,P10,Stomach awareness,0.0
2D Label,P11,Stomach awareness,0.0
2D Label,P12,Stomach awareness,0.0
3D Ghost,P02,Stomach awareness,0.0
3D Ghost,P03,Stomach awareness,0.0
3D Ghost,P04,Stomach awareness,0.0
3D Ghost,P05,Stomach awareness,0.0
3D Ghost,P06,Stomach awareness,0.0
3D Ghost,P07,Stomach awareness,0.0
3D Ghost,P08,Stomach awareness,0.0
3D Ghost,P09,Stomach awareness,0.0
3D Ghost,P10,Stomach awareness,0.0
3D Ghost,P11,Stomach awareness,1.0
3D Ghost,P12,Stomach awareness,0.0
2D Label,P01,Burping,0.0
2D Label,P02,Burping,0.0
2D Label,P03,Burping,0.0
2D Label,P04,Burping,0.0
2D Label,P05,Burping,0.0
2D Label,P06,Burping,0.0
2D Label,P07,Burping,0.0
2D Label,P08,Burping,0.0
2D Label,P10,Burping,0.0
2D Label,P11,Burping,0.0
2D Label,P12,Burping,0.0
3D Ghost,P02,Burping,0.0
3D Ghost,P03,Burping,0.0
3D Ghost,P04,Burping,0.0
3D Ghost,P05,Burping,0.0
3D Ghost,P06,Burping,0.0
3D Ghost,P07,Burping,0.0
3D Ghost,P08,Burping,0.0
3D Ghost,P09,Burping,0.0
3D Ghost,P10,Burping,0.0
3D Ghost,P11,Burping,0.0
3D Ghost,P12,Burping,0.0
2D Label,P01,Sum1,0.0
2D Label,P02,Sum1,0.0
2D Label,P03,Sum1,0.0
2D Label,P04,Sum1,2.0
2D Label,P05,Sum1,1.0
2D Label,P06,Sum1,1.0
2D Label,P07,Sum1,2.0
2D Label,P08,Sum1,2.0
2D Label,P10,Sum1,1.0
2D Label,P11,Sum1,3.0
2D Label,P12,Sum1,0.0
3D Ghost,P02,Sum1,0.0
3D Ghost,P03,Sum1,1.0
3D Ghost,P04,Sum1,0.0
3D Ghost,P05,Sum1,1.0
3D Ghost,P06,Sum1,1.0
3D Ghost,P07,Sum1,0.0
3D Ghost,P08,Sum1,0.0
3D Ghost,P09,Sum1,1.0
3D Ghost,P10,Sum1,0.0
3D Ghost,P11,Sum1,2.0
3D Ghost,P12,Sum1,0.0
2D Label,P01,Nausea,0.0
2D Label,P02,Nausea,0.0
2D Label,P03,Nausea,0.0
2D Label,P04,Nausea,19.08
2D Label,P05,Nausea,9.54
2D Label,P06,Nausea,9.54
2D Label,P07,Nausea,19.08
2D Label,P08,Nausea,19.08
2D Label,P10,Nausea,9.54
2D Label,P11,Nausea,28.62
2D Label,P12,Nausea,0.0
3D Ghost,P02,Nausea,0.0
3D Ghost,P03,Nausea,9.54
3D Ghost,P04,Nausea,0.0
3D Ghost,P05,Nausea,9.54
3D Ghost,P06,Nausea,9.54
3D Ghost,P07,Nausea,0.0
3D Ghost,P08,Nausea,0.0
3D Ghost,P09,Nausea,9.54
3D Ghost,P10,Nausea,0.0
3D Ghost,P11,Nausea,19.08
3D Ghost,P12,Nausea,0.0
2D Label,P01,sum2,2.0
2D Label,P02,sum2,2.0
2D Label,P03,sum2,0.0
2D Label,P04,sum2,5.0
2D Label,P05,sum2,1.0
2D Label,P06,sum2,4.0
2D Label,P07,sum2,4.0
2D Label,P08,sum2,7.0
2D Label,P10,sum2,4.0
2D Label,P11,sum2,6.0
2D Label,P12,sum2,0.0
3D Ghost,P02,sum2,1.0
3D Ghost,P03,sum2,2.0
3D Ghost,P04,sum2,0.0
3D Ghost,P05,sum2,7.0
3D Ghost,P06,sum2,2.0
3D Ghost,P07,sum2,2.0
3D Ghost,P08,sum2,3.0
3D Ghost,P09,sum2,1.0
3D Ghost,P10,sum2,2.0
3D Ghost,P11,sum2,0.0
3D Ghost,P12,sum2,0.0
2D Label,P01,Oculomotor,15.16
2D Label,P02,Oculomotor,15.16
2D Label,P03,Oculomotor,0.0
2D Label,P04,Oculomotor,37.9
2D Label,P05,Oculomotor,7.58
2D Label,P06,Oculomotor,30.32
2D Label,P07,Oculomotor,30.32
2D Label,P08,Oculomotor,53.06
2D Label,P10,Oculomotor,30.32
2D Label,P11,Oculomotor,45.48
2D Label,P12,Oculomotor,0.0
3D Ghost,P02,Oculomotor,7.58
3D Ghost,P03,Oculomotor,15.16
3D Ghost,P04,Oculomotor,0.0
3D Ghost,P05,Oculomotor,53.06
3D Ghost,P06,Oculomotor,15.16
3D Ghost,P07,Oculomotor,15.16
3D Ghost,P08,Oculomotor,22.74
3D Ghost,P09,Oculomotor,7.58
3D Ghost,P10,Oculomotor,15.16
3D Ghost,P11,Oculomotor,0.0
3D Ghost,P12,Oculomotor,0.0
2D Label,P01,sum3,1.0
2D Label,P02,sum3,2.0
2D Label,P03,sum3,0.0
2D Label,P04,sum3,2.0
2D Label,P05,sum3,0.0
2D Label,P06,sum3,5.0
2D Label,P07,sum3,2.0
2D Label,P08,sum3,5.0
2D Label,P10,sum3,5.0
2D Label,P11,sum3,4.0
2D Label,P12,sum3,0.0
3D Ghost,P02,sum3,1.0
3D Ghost,P03,sum3,0.0
3D Ghost,P04,sum3,0.0
3D Ghost,P05,sum3,4.0
3D Ghost,P06,sum3,0.0
3D Ghost,P07,sum3,2.0
3D Ghost,P08,sum3,2.0
3D Ghost,P09,sum3,3.0
3D Ghost,P10,sum3,2.0
3D Ghost,P11,sum3,2.0
3D Ghost,P12,sum3,0.0
2D Label,P01,Disorientation,13.92
2D Label,P02,Disorientation,27.84
2D Label,P03,Disorientation,0.0
2D Label,P04,Disorientation,27.84
2D Label,P05,Disorientation,0.0
2D Label,P06,Disorientation,69.6
2D Label,P07,Disorientation,27.84
2D Label,P08,Disorientation,69.6
2D Label,P10,Disorientation,69.6
2D Label,P11,Disorientation,55.68
2D Label,P12,Disorientation,0.0
3D Ghost,P02,Disorientation,13.92
3D Ghost,P03,Disorientation,0.0
3D Ghost,P04,Disorientation,0.0
3D Ghost,P05,Disorientation,55.68
3D Ghost,P06,Disorientation,0.0
3D Ghost,P07,Disorientation,27.84
